1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (when applicable),GE RUNOFF ELECTION % (when applicable),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %
848,FL,Florida,12,H2FL12131,,Chris,Leiser,"Leiser, Chris",,R,4000,4.74282055538429%,,,,,,,,,,,,,,,,,
849,FL,Florida,12,H2FL12099,,Brian,Perras,"Perras, Brian",,R,3217,3.81441343166781%,,,,,,,,,,,,,,,,,
850,FL,Florida,12,H2FL12107,,Sid,Preskitt,"Preskitt, Sid",,R,2142,2.53978040740829%,,,,,,,,,,,,,,,,,
851,FL,Florida,12,n/a,,,,,Party Votes:,R,84338,,,,,,,,,,,,,,,,,,
852,FL,Florida,12,H6FL13197,,Kimberly,Walker,"Walker, Kimberly",,D,Unopposed,,,,95390,29.6246836130996%,,,,,W,,,,,,,,
853,FL,Florida,12,H2FL12123,,Charles ,Smith,"Smith, Charles ",,W,,,,,4,0.00124225531452352%,,,,,,,,,,,,,
854,FL,Florida,12,n/a,,,,,District Votes:,,84338,,,,321995,,,,,,,,,,,,,,
855,FL,Florida,,n/a,,,,DISTRICT 13,,,,,,,,,,,,,,,,,,,,,
856,FL,Florida,13,H0FL13158,,Anna Paulina,Luna,"Luna, Anna Paulina",,R,37156,44.4811569218982%,,,181487,53.1369127438178%,,,,,W,W,,,,,,,
857,FL,Florida,13,H2FL13287,,Kevin,Hayslett,"Hayslett, Kevin",,R,28108,33.64937987837%,,,,,,,,,,,,,,,,,
858,FL,Florida,13,H0FL13133,,Amanda ,Makki,"Makki, Amanda ",,R,14159,16.9503902695973%,,,,,,,,,,,,,,,,,
859,FL,Florida,13,H6FL14112,,Christine Y.,Quinn,"Quinn, Christine Y.",,R,2510,3.00483646985586%,,,,,,,,,,,,,,,,,
860,FL,Florida,13,H2FL13261,,Moneer,Kheireddine,"Kheireddine, Moneer",,R,1599,1.9142364602787%,,,,,,,,,,,,,,,,,
861,FL,Florida,13,n/a,,,,,Party Votes:,R,83532,,,,,,,,,,,,,,,,,,
862,FL,Florida,13,H6FL13189,,Eric,Lynn,"Lynn, Eric",,D,Unopposed,,,,153876,45.0527893753696%,,,,,W,,,,,,,,
863,FL,Florida,13,H2FL13212,,Frank,Craft,"Craft, Frank",,LBF,Unopposed,,,,6163,1.8044421542047%,,,,,,,,,,,,,
864,FL,Florida,13,H2FL13303,,Dwight,Young,"Young, Dwight",,W,,,,,17,0.00497736761666071%,,,,,,,,,,,,,
865,FL,Florida,13,H0FL13190,,Jacob Daniel,Curnow,"Curnow, Jacob Daniel",,W,,,,,3,0.00087835899117542%,,,,,,,,,,,,,
866,FL,Florida,13,n/a,,,,,District Votes:,,83532,,,,341546,,,,,,,,,,,,,,
867,FL,Florida,,n/a,,,,DISTRICT 14,,,,,,,,,,,,,,,,,,,,,
868,FL,Florida,14,H6FL11126,(I),Kathy,Castor,"Castor, Kathy",,D,62562,90.3474568928169%,,,149737,56.8987399492332%,,,,,W,W,,,,,,,
869,FL,Florida,14,H2FL14269,,Christopher,Bradley,"Bradley, Christopher",,D,6684,9.65254310718309%,,,,,,,,,,,,,,,,,
870,FL,Florida,14,n/a,,,,,Party Votes:,D,69246,,,,,,,,,,,,,,,,,,
871,FL,Florida,14,H2FL14277,,James,Judge,"Judge, James",,R,20466,53.1391182427169%,,,113427,43.1012600507668%,,,,,W,,,,,,,,
872,FL,Florida,14,H2FL15266,,Jerry,Torres,"Torres, Jerry",,R,11398,29.5944331931246%,,,,,,,,,,,,,,,,,
873,FL,Florida,14,H2FL14301,,"Samar ""Sam""",Nashagh,"Nashagh, Samar ""Sam""",,R,6650,17.2664485641585%,,,,,,,,,,,,,,,,,
874,FL,Florida,14,n/a,,,,,Party Votes:,R,38514,,,,,,,,,,,,,,,,,,
875,FL,Florida,14,n/a,,,,,District Votes:,,107760,,,,263164,,,,,,,,,,,,,,
876,FL,Florida,,n/a,,,,DISTRICT 15,,,,,,,,,,,,,,,,,,,,,
877,FL,Florida,15,H2FL15241,,Laurel ,Lee,"Lee, Laurel ",,R,22481,41.4763292867422%,,,145219,58.5433010554154%,,,,,W,W,,,,,,,
878,FL,Florida,15,H2FL15233,,Kelli,Stargel,"Stargel, Kelli",,R,15072,27.8070919892255%,,,,,,,,,,,,,,,,,
879,FL,Florida,15,H2FL15191,,Jackie,Toledo,"Toledo, Jackie",,R,6307,11.6361019888565%,,,,,,,,,,,,,,,,,
880,FL,Florida,15,H8FL26054,,"Demetries ""Commander""",Grimes,"Grimes, Demetries ""Commander""",,R,5629,10.3852256374304%,,,,,,,,,,,,,,,,,
881,FL,Florida,15,H2FL15241,,"Kevin ""Mac""",McGovern,"McGovern, Kevin ""Mac""",,R,4713,8.69525109774547%,,,,,,,,,,,,,,,,,
882,FL,Florida,15,n/a,,,,,Party Votes:,R,54202,,,,,,,,,,,,,,,,,,
883,FL,Florida,15,H4FL15155,,Alan M.,Cohn,"Cohn, Alan M.",,D,14928,33.1196059725334%,,,102835,41.4566989445846%,,,,,W,,,,,,,,
884,FL,Florida,15,H2FL15225,,Gavin ,Brown,"Brown, Gavin ",,D,10034,22.2616644110665%,,,,,,,,,,,,,,,,,
885,FL,Florida,15,H2FL15100,,Eddie,Geller,"Geller, Eddie",,D,9859,21.8734053646307%,,,,,,,,,,,,,,,,,
886,FL,Florida,15,H2FL15258,,Cesar,Ramirez,"Ramirez, Cesar",,D,7817,17.3429769485058%,,,,,,,,,,,,,,,,,
887,FL,Florida,15,H2FL12073,,William,VanHorn,"VanHorn, William",,D,2435,5.40234730326359%,,,,,,,,,,,,,,,,,
888,FL,Florida,15,n/a,,,,,Party Votes:,D,45073,,,,,,,,,,,,,,,,,,
889,FL,Florida,15,n/a,,,,,District Votes:,,99275,,,,248054,,,,,,,,,,,,,,
890,FL,Florida,,n/a,,,,DISTRICT 16,,,,,,,,,,,,,,,,,,,,,
891,FL,Florida,16,H6FL13148,(I),Vern,Buchanan,"Buchanan, Vern",,R,64028,86.2364809352566%,,,189762,62.1441062621579%,,,,,W,W,,,,,,,
892,FL,Florida,16,H2FL16108,,Martin,Hyde,"Hyde, Martin",,R,10219,13.7635190647434%,,,,,,,,,,,,,,,,,
893,FL,Florida,16,n/a,,,,,Party Votes:,R,74247,,,,,,,,,,,,,,,,,,
894,FL,Florida,16,H2FL13139,,Jan ,Schneider,"Schneider, Jan ",,D,Unopposed,,,,115575,37.849016564164%,,,,,W,,,,,,,,
895,FL,Florida,16,H2FL16116,,Ralph E.,Hartman,"Hartman, Ralph E.",,W,,,,,21,0.00687717367810897%,,,,,,,,,,,,,
896,FL,Florida,16,n/a,,,,,District Votes:,,74247,,,,305358,,,,,,,,,,,,,,
897,FL,Florida,,n/a,,,,DISTRICT 17,,,,,,,,,,,,,,,,,,,,,
898,FL,Florida,17,H8FL17053,(I),Greg,Steube,"Steube, Greg",,R,Unopposed,,,,222483,63.8390730719127%,,,,,W,W,,,,,,,
899,FL,Florida,17,H2FL17106,,Andrea Doria,Kale,"Kale, Andrea Doria",,D,Unopposed,,,,123798,35.5224874177202%,,,,,W,,,,,,,,
900,FL,Florida,17,H0FL17175,,"Theodore ""Pink Tie""",Murray,"Murray, Theodore ""Pink Tie""",,NPA,,,,,2225,0.63843951036711%,,,,,,,,,,,,,
901,FL,Florida,17,n/a,,,,,District Votes:,,,,,,348506,,,,,,,,,,,,,,
902,FL,Florida,,n/a,,,,DISTRICT 18,,,,,,,,,,,,,,,,,,,,,
903,FL,Florida,18,H0FL15104,(I),Scott ,Franklin,"Franklin, Scott ",,R,44927,73.0579721928612%,,,167429,74.667088844689%,,,,,W,W,,,,,,,
904,FL,Florida,18,H2FL15134,,Jennifer,Raybon,"Raybon, Jennifer",,R,6606,10.7423367753476%,,,,,,,,,,,,,,,,,
905,FL,Florida,18,H2FL15159,,Wendy June,Schmeling,"Schmeling, Wendy June",,R,4099,6.66558256768843%,,,,,,,,,,,,,,,,,
906,FL,Florida,18,H2FL09152,,"Kenneth ""Kenny"" James",Hartpence,"Hartpence, Kenneth ""Kenny"" James",,R,3999,6.50296772095292%,,,,,,,,,,,,,,,,,
907,FL,Florida,18,H2FL18112,,"Eduardo ""Eddie"" G.",Tarazona,"Tarazona, Eduardo ""Eddie"" G.",,R,1864,3.03114074314985%,,,,,,,,,,,,,,,,,
908,FL,Florida,18,n/a,,,,,Party Votes:,R,61495,,,,,,,,,,,,,,,,,,
909,FL,Florida,18,H2FL18138,,"Keith R., Jr.",Hayden,"Hayden, Keith R., Jr.",,NPA,,,,,56647,25.2624490487616%,,,,,,,,,,,,,
910,FL,Florida,18,H2FL20241,,Leonard L. ,Serratore,"Serratore, Leonard L. ",,W,,,,,158,0.0704621065494082%,,,,,,,,,,,,,
911,FL,Florida,18,n/a,,,,,District Votes:,,61495,,,,224234,,,,,,,,,,,,,,
912,FL,Florida,,n/a,,,,DISTRICT 19,,,,,,,,,,,,,,,,,,,,,
913,FL,Florida,19,H2FL14186,(I),Byron,Donalds,"Donalds, Byron",,R,76192,83.7394353039445%,,,213035,68.0027707374375%,,,,,W,W,,,,,,,
914,FL,Florida,19,H2FL19110,,Jim ,Huff,"Huff, Jim ",,R,14795,16.2605646960555%,,,,,,,,,,,,,,,,,
915,FL,Florida,19,n/a,,,,,Party Votes:,R,90987,,,,,,,,,,,,,,,,,,
916,FL,Florida,19,H0FL19106,,Cindy,Banyai,"Banyai, Cindy",,D,Unopposed,,,,100226,31.9930795405939%,,,,,W,,,,,,,,
917,FL,Florida,19,H0FL19254,,Patrick,Post,"Post, Patrick",,W,,,,,13,0.0041497219686281%,,,,,,,,,,,,,
918,FL,Florida,19,n/a,,,,,District Votes:,,90987,,,,313274,,,,,,,,,,,,,,
919,FL,Florida,,n/a,,,,DISTRICT 20,,,,,,,,,,,,,,,,,,,,,
920,FL,Florida,20,H8FL20032,(I),Sheila ,Cherfilus-McCormick,"Cherfilus-McCormick, Sheila ",,D,47601,65.5832793706342%,,,136215,72.3140057122835%,,,,,W,W,,,,,,,
921,FL,Florida,20,H2FL20159,,Dale V.C,Holness,"Holness, Dale V.C",,D,20783,28.6342155660572%,,,,,,,,,,,,,,,,,
922,FL,Florida,20,H2FL20340,,Anika,Omphroy,"Omphroy, Anika",,D,4197,5.78250506330858%,,,,,,,,,,,,,,,,,
923,FL,Florida,20,n/a,,,,,Party Votes:,D,72581,,,,,,,,,,,,,,,,,,
924,FL,Florida,20,H2FL25083,,Drew Montez,Clark,"Clark, Drew Montez",,R,Unopposed,,,,52151,27.6859942877165%,,,,,W,,,,,,,,
925,FL,Florida,20,n/a,,,,,District Votes:,,72581,,,,188366,,,,,,,,,,,,,,
926,FL,Florida,,n/a,,,,DISTRICT 21,,,,,,,,,,,,,,,,,,,,,
927,FL,Florida,21,H6FL18097,(I),Brian,Mast,"Mast, Brian",,R,56535,78.0611399536065%,,,208614,63.5040562548515%,,,,,W,W,,,,,,,
928,FL,Florida,21,H2FL21082,,Jeff,Buongiorno,"Buongiorno, Jeff",,R,8850,12.2197061747487%,,,,,,,,,,,,,,,,,
929,FL,Florida,21,H2FL18088,,Melissa ,Martz,"Martz, Melissa ",,R,6186,8.54136750248537%,,,,,,,,,,,,,,,,,
930,FL,Florida,21,H2FL21116,,Ljubo,Skrbic,"Skrbic, Ljubo",,R,853,1.17778636915939%,,,,,,,,,,,,,,,,,
931,FL,Florida,21,n/a,,,,,Party Votes:,R,72424,,,,,,,,,,,,,,,,,,
932,FL,Florida,21,H2FL18096,,Corinna,Balderramos Robinson,"Balderramos Robinson, Corinna",,D,Unopposed,,,,119891,36.4959437451485%,,,,,W,,,,,,,,
933,FL,Florida,21,n/a,,,,,District Votes:,,72424,,,,328505,,,,,,,,,,,,,,
934,FL,Florida,,n/a,,,,DISTRICT 22,,,,,,,,,,,,,,,,,,,,,
935,FL,Florida,22,H2FL14053,(I),Lois,Frankel,"Frankel, Lois",,D,Unopposed,,,,150010,55.1094032416864%,,,,,W,W,,,,,,,
936,FL,Florida,22,H2FL21108,,Dan,Franzese,"Franzese, Dan",,R,11972,34.6562454769142%,,,122194,44.8905967583136%,,,,,W,,,,,,,,
937,FL,Florida,22,H2FL21132,,Deborah,Adeimy,"Adeimy, Deborah",,R,11842,34.2799247358518%,,,,,,,,,,,,,,,,,
938,FL,Florida,22,H2FL21090,,Rod,Dorilas,"Dorilas, Rod",,R,6594,19.0881458966565%,,,,,,,,,,,,,,,,,
939,FL,Florida,22,H2FL21140,,Peter Steven,Arianas,"Arianas, Peter Steven",,R,2082,6.02692140686062%,,,,,,,,,,,,,,,,,
940,FL,Florida,22,H2FL21181,,Carrie,Lawlor,"Lawlor, Carrie",,R,2055,5.94876248371689%,,,,,,,,,,,,,,,,,
941,FL,Florida,22,n/a,,,,,Party Votes:,R,34545,,,,,,,,,,,,,,,,,,
942,FL,Florida,22,n/a,,,,,District Votes:,,34545,,,,272204,,,,,,,,,,,,,,
943,FL,Florida,,n/a,,,,DISTRICT 23,,,,,,,,,,,,,,,,,,,,,
944,FL,Florida,23,H2FL22171,,Jared ,Moskowitz,"Moskowitz, Jared ",,D,38822,61.1139097034192%,,,143951,51.5862805457106%,,,,,W,W,,,,,,,
945,FL,Florida,23,H2FL22197,,Ben,Sorensen,"Sorensen, Ben",,D,13012,20.4835967508343%,,,,,,,,,,,,,,,,,
946,FL,Florida,23,H2FL22205,,Hava ,Holzhauer,"Holzhauer, Hava ",,D,5276,8.3055223222719%,,,,,,,,,,,,,,,,,
947,FL,Florida,23,H0FL17159,,Allen,Ellison,"Ellison, Allen",,D,3960,6.23386436622379%,,,,,,,,,,,,,,,,,
948,FL,Florida,23,H2FL23260,,"W. Michael ""Mike""",Trout,"Trout, W. Michael ""Mike""",,D,1390,2.18814936087148%,,,,,,,,,,,,,,,,,
949,FL,Florida,23,H2FL23153,,Michaelangelo Collins,Hamilton,"Hamilton, Michaelangelo Collins",,D,1064,1.67495749637932%,,,,,,,,,,,,,,,,,
950,FL,Florida,23,n/a,,,,,Party Votes:,D,63524,,,,,,,,,,,,,,,,,,
951,FL,Florida,23,H2FL23138,,Joe ,Budd,"Budd, Joe ",,R,12592,37.6206268112695%,,,130681,46.830843328591%,,,,,W,,,,,,,,
952,FL,Florida,23,H0FL22118,,"James ""Jim""",Pruden,"Pruden, James ""Jim""",,R,7399,22.1057034447731%,,,,,,,,,,,,,,,,,
953,FL,Florida,23,H2FL22155,,Darlene,Cerezo Swaffar,"Cerezo Swaffar, Darlene",,R,3872,11.5682232380269%,,,,,,,,,,,,,,,,,
954,FL,Florida,23,H2FL21173,,Christy ,McLaughlin,"McLaughlin, Christy ",,R,3832,11.4487167996176%,,,,,,,,,,,,,,,,,
955,FL,Florida,23,H2FL22148,,Steven,Chess,"Chess, Steven",,R,2840,8.48495712706522%,,,,,,,,,,,,,,,,,
956,FL,Florida,23,H2FL23146,,Ira ,Weinstein,"Weinstein, Ira ",,R,2297,6.86265722565803%,,,,,,,,,,,,,,,,,
957,FL,Florida,23,H2FL23161,,Myles ,Perrone,"Perrone, Myles ",,R,639,1.90911535358967%,,,,,,,,,,,,,,,,,
958,FL,Florida,23,n/a,,,,,Party Votes:,R,33471,,,,,,,,,,,,,,,,,,
959,FL,Florida,23,H0FL22126,,Christine ,Scott,"Scott, Christine ",,NPA,,,,,3079,1.10339044397221%,,,,,,,,,,,,,
960,FL,Florida,23,H2FL22163,,Mark ,Napier,"Napier, Mark ",,NPA,,,,,1338,0.479485681726148%,,,,,,,,,,,,,
961,FL,Florida,23,n/a,,,,,District Votes:,,96995,,,,279049,,,,,,,,,,,,,,
962,FL,Florida,,n/a,,,,DISTRICT 24,,,,,,,,,,,,,,,,,,,,,
963,FL,Florida,24,H0FL17068,(I),Frederica,Wilson,"Wilson, Frederica",,D,56776,89.2816706503963%,,,133442,71.7850783523678%,,,,,W,W,,,,,,,
964,FL,Florida,24,H2FL24045,,Kevin C. ,Harris,"Harris, Kevin C. ",,D,6816,10.7183293496037%,,,,,,,,,,,,,,,,,
965,FL,Florida,24,n/a,,,,,Party Votes:,D,63592,,,,,,,,,,,,,,,,,,
966,FL,Florida,24,H2FL24078,,Jesus G.,Navarro,"Navarro, Jesus G.",,R,6373,64.5105779937241%,,,52449,28.2149216476322%,,,,,W,,,,,,,,
967,FL,Florida,24,H0FL24205,,Lavern ,Spicer,"Spicer, Lavern ",,R,3506,35.4894220062759%,,,,,,,,,,,,,,,,,
968,FL,Florida,24,n/a,,,,,Party Votes:,R,9879,,,,,,,,,,,,,,,,,,
969,FL,Florida,24,n/a,,,,,District Votes:,,73471,,,,185891,,,,,,,,,,,,,,
970,FL,Florida,,n/a,,,,DISTRICT 25,,,,,,,,,,,,,,,,,,,,,
971,FL,Florida,25,H4FL20023,(I),Debbie Wasserman ,Schultz,"Schultz, Debbie Wasserman ",,D,50554,89.0113566335065%,,,129113,55.093619853895%,,,,,W,W,,,,,,,
972,FL,Florida,25,H2FL25091,,Robert ,Millwee,"Millwee, Robert ",,D,6241,10.9886433664935%,,,,,,,,,,,,,,,,,
973,FL,Florida,25,n/a,,,,,Party Votes:,D,56795,,,,,,,,,,,,,,,,,,
974,FL,Florida,25,H0FL23090,,Carla ,Spalding,"Spalding, Carla ",,R,16425,71.6123125217998%,,,105239,44.906380146105%,,,,,W,,,,,,,,
975,FL,Florida,25,H0FL23090,,Rubin,Young,"Young, Rubin",,R,6511,28.3876874782002%,,,,,,,,,,,,,,,,,
976,FL,Florida,25,n/a,,,,,Party Votes:,R,22936,,,,,,,,,,,,,,,,,,
977,FL,Florida,25,n/a,,,,,District Votes:,,79731,,,,234352,,,,,,,,,,,,,,
978,FL,Florida,,n/a,,,,DISTRICT 26,,,,,,,,,,,,,,,,,,,,,
979,FL,Florida,26,H4FL20023,(I),Mario ,Diaz-Balart,"Diaz-Balart, Mario ",,R,36861,84.2614181868056%,,,143240,70.8729985948107%,,,,,W,W,,,,,,,
980,FL,Florida,26,H0FL19163,,Darren ,Aquino,"Aquino, Darren ",,R,6885,15.7385818131944%,,,,,,,,,,,,,,,,,
981,FL,Florida,26,n/a,,,,,Party Votes:,R,43746,,,,,,,,,,,,,,,,,,
982,FL,Florida,26,H2FL24037,,Christine Alexandria,Olivo,"Olivo, Christine Alexandria",,D,Unopposed,,,,58868,29.1270014051893%,,,,,W,,,,,,,,
983,FL,Florida,26,n/a,,,,,District Votes:,,43746,,,,202108,,,,,,,,,,,,,,
984,FL,Florida,,n/a,,,,DISTRICT 27,,,,,,,,,,,,,,,,,,,,,
985,FL,Florida,27,H0FL23090,(I),Marça Elvira ,Salazar,"Salazar, Marça Elvira ",,R,33760,80.7984108369433%,,,136038,57.2931494849268%,,,,,W,W,,,,,,,
986,FL,Florida,27,H2FL27071,,Frank ,Polo,"Polo, Frank ",,R,8023,19.2015891630567%,,,,,,,,,,,,,,,,,
987,FL,Florida,27,n/a,,,,,Party Votes:,R,41783,,,,,,,,,,,,,,,,,,
988,FL,Florida,27,H8FL00034,,Annette ,Taddeo,"Taddeo, Annette ",,D,27015,67.8002258752667%,,,101404,42.7068505150732%,,,,,W,,,,,,,,
989,FL,Florida,27,H2FL27089,,Ken ,Russell,"Russell, Ken ",,D,10337,25.9430292382984%,,,,,,,,,,,,,,,,,
990,FL,Florida,27,H2FL27055,,Angel ,Montalvo,"Montalvo, Angel ",,D,2493,6.25674488643494%,,,,,,,,,,,,,,,,,
991,FL,Florida,27,n/a,,,,,Party Votes:,D,39845,,,,,,,,,,,,,,,,,,
992,FL,Florida,27,n/a,,,,,District Votes:,,81628,,,,237442,,,,,,,,,,,,,,
993,FL,Florida,,n/a,,,,DISTRICT 28,,,,,,,,,,,,,,,,,,,,,
994,FL,Florida,28,H0FL26036,(I),Carlos A. ,Gimenez,"Gimenez, Carlos A. ",,R,28762,73.3630914424181%,,,134457,63.678427658063%,,,,,W,W,,,,,,,
995,FL,Florida,28,H2FL28020,,Carlos,Garin,"Garin, Carlos",,R,6048,15.4266037495217%,,,,,,,,,,,,,,,,,
996,FL,Florida,28,H2FL26099,,"Karl ""KW""",Miller,"Miller, Karl ""KW""",,R,4395,11.2103048080602%,,,,,,,,,,,,,,,,,
997,FL,Florida,28,n/a,,,,,Party Votes:,R,39205,,,,,,,,,,,,,,,,,,
998,FL,Florida,28,H2FL28038,,Robert,Asencio,"Asencio, Robert",,D,18504,69.2489053553385%,,,76665,36.3083116268056%,,,,,W,,,,,,,,
999,FL,Florida,28,H2FL28046,,Juan,Paredes,"Paredes, Juan",,D,8217,30.7510946446615%,,,,,,,,,,,,,,,,,
1000,FL,Florida,28,n/a,,,,,Party Votes:,D,26721,,,,,,,,,,,,,,,,,,
1001,FL,Florida,28,H2FL26073,,Jeremiah ,Schaffer,"Schaffer, Jeremiah ",,W,,,,,28,0.0132607151314232%,,,,,,,,,,,,,
1002,FL,Florida,28,n/a,,,,,District Votes:,,65926,,,,211150,,,,,,,,,,,,,,
1003,FL,Florida,H,n/a,,,,,Total State Votes:,,2218175,,,,7332304,,,,,,,,,,,,,,
1004,GA,Georgia,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,,,,,,,
1005,GA,Georgia,01,H4GA01039 ,(I),"Earl L. ""Buddy""",Carter,"Carter, Earl L. ""Buddy""",,R,80757,100%,,,156128,59.1472354289394%,,,,,W,W,,,,,,,
1006,GA,Georgia,01,n/a,,,,,Party Votes:,R,80757,,,,,,,,,,,,,,,,,,
1007,GA,Georgia,01,H2GA01249 ,,Wade,Herring,"Herring, Wade",,D,17118,37.9960934031786%,12880,61.9290316376575%,107837,40.8527645710606%,,,,,W,,,,,,,,
1008,GA,Georgia,01,H0GA01029,,Joyce Marie,Griggs,"Griggs, Joyce Marie",,D,21891,48.5905176240788%,7918,38.0709683623425%,,,,,,,,,,,,,,,
1009,GA,Georgia,01,H2GA01272 ,,Michelle L.,Munroe,"Munroe, Michelle L.",,D,6043,13.4133889727426%,,,,,,,,,,,,,,,,,
1010,GA,Georgia,01,n/a,,,,,Party Votes:,D,45052,,20798,,,,,,,,,,,,,,,,
1011,GA,Georgia,01,n/a,,,,,District Votes:,,125809,,20798,,263965,,,,,,,,,,,,,,
1012,GA,Georgia,,n/a,,,,DISTRICT 2,,,,,,,            ,,,,,,,,,,,,,,
1013,GA,Georgia,02,H2GA02031 ,(I),Sanford,Bishop,"Bishop, Sanford",,D,54991,93.5141569594422%,,,132675,54.9743101019309%,,,,,W,W,,,,,,,
1014,GA,Georgia,02,H2GA02148 ,,Joe,O'Hara,"O'Hara, Joe",,D,3814,6.48584304055778%,,,,,,,,,,,,,,,,,
1015,GA,Georgia,02,n/a,,,,,Party Votes:,D,58805,,,,,,,,,,,,,,,,,,
1016,GA,Georgia,02,H2GA02155 ,,Chris,West,"West, Chris",,R,18658,30.0886953717142%,14622,51.3106642804506%,108665,45.0256898980691%,,,,,W,,,,,,,,
1017,GA,Georgia,02,H2GA02189 ,,Jeremy,Hunt,"Hunt, Jeremy",,R,22923,36.966618287373%,13875,48.6893357195494%,,,,,,,,,,,,,,,
1018,GA,Georgia,02,H2GA02163 ,,Wayne,Johnson,"Johnson, Wayne",,R,11574,18.6647314949202%,,,,,,,,,,,,,,,,,
1019,GA,Georgia,02,H4GA02078 ,,Vivian L.,Childs,"Childs, Vivian L.",,R,3986,6.42799548459926%,,,,,,,,,,,,,,,,,
1020,GA,Georgia,02,H2GA02171 ,,Rich,Robertson,"Robertson, Rich",,R,2832,4.5670053217223%,,,,,,,,,,,,,,,,,
1021,GA,Georgia,02,H2GA02197,,Paul,Whitehead,"Whitehead, Paul",,R,2037,3.28495403967102%,,,,,,,,,,,,,,,,,
1022,GA,Georgia,02,n/a,,,,,Party Votes:,R,62010,,28497,,,,,,,,,,,,,,,,
1023,GA,Georgia,02,n/a,,,,,District Votes:,,120815,,28497,,241340,,,,,,,,,,,,,,
1024,GA,Georgia,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,,,,,,,
1025,GA,Georgia,03,H6GA03113,(I),Drew,Ferguson,"Ferguson, Drew",,R,96314,82.6807681411979%,,,213524,68.7498591349761%,,,,,W,W,,,,,,,
1026,GA,Georgia,03,H2GA03179 ,,Jared,Craig,"Craig, Jared",,R,20175,17.3192318588021%,,,,,,,,,,,,,,,,,
1027,GA,Georgia,03,n/a,,,,,Party Votes:,R,116489,,,,,,,,,,,,,,,,,,
1028,GA,Georgia,03,H0GA03074 ,,Val,Almonord,"Almonord, Val",,D,32207,100%,,,97057,31.2501408650239%,,,,,W,,,,,,,,
1029,GA,Georgia,03,n/a,,,,,Party Votes:,D,32207,,,,,,,,,,,,,,,,,,
1030,GA,Georgia,03,n/a,,,,,District Votes:,,148696,,,,310581,,,,,,,,,,,,,,
1031,GA,Georgia,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,,,,,,,
1032,GA,Georgia,04,H6GA04129,(I),"Harry C. ""Hank,"" Jr.",Johnson,"Johnson, Harry C. ""Hank,"" Jr.",,D,84773,100%,,,216332,78.4852376702439%,,,,,W,W,,,,,,,
1033,GA,Georgia,04,n/a,,,,,Party Votes:,D,84773,,,,,,,,,,,,,,,,,,
1034,GA,Georgia,04,H2GA04201 ,,Jonathan ,Chavez,"Chavez, Jonathan ",,R,21924,78.2944075423184%,,,59302,21.5147623297561%,,,,,W,,,,,,,,
1035,GA,Georgia,04,H2GA04193 ,,Surrea,Ivy,"Ivy, Surrea",,R,6078,21.7055924576816%,,,,,,,,,,,,,,,,,
1036,GA,Georgia,04,n/a,,,,,Party Votes:,R,28002,,,,,,,,,,,,,,,,,,
1037,GA,Georgia,04,n/a,,,,,District Votes:,,112775,,,,275634,,,,,,,,,,,,,,
1038,GA,Georgia,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,,,,,,,
1039,GA,Georgia,05,H0GA05301 ,(I),Nikema,Williams,"Williams, Nikema",,D,78440,86.2622619099987%,,,243687,82.4782708762049%,,,,,W,W,,,,,,,
1040,GA,Georgia,05,H2GA05174 ,,Valencia,Stovall,"Stovall, Valencia",,D,8701,9.56868869045001%,,,,,,,,,,,,,,,,,
1041,GA,Georgia,05,H2GA05182,,Charlotte,MacBagito,"MacBagito, Charlotte",,D,3791,4.16904939955131%,,,,,,,,,,,,,,,,,
1042,GA,Georgia,05,n/a,,,,,Party Votes:,D,90932,,,,,,,,,,,,,,,,,,
1043,GA,Georgia,05,H2GA05166 ,,Christian,Zimm,"Zimm, Christian",,R,21540,100%,,,51769,17.5217291237951%,,,,,W,,,,,,,,
1044,GA,Georgia,05,n/a,,,,,Party Votes:,R,21540,,,,,,,,,,,,,,,,,,
1045,GA,Georgia,05,n/a,,,,,District Votes:,,112472,,,,295456,,,,,,,,,,,,,,
1046,GA,Georgia,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,,,,,,,,
1047,GA,Georgia,06,H0GA07273 	,,Rich,McCormick,"McCormick, Rich",,R,48967,43.122594735498%,27455,66.5366066451785%,206886,62.2217276494896%,,,,,W,W,,,,,,,
1048,GA,Georgia,06,H2GA06164,,Jake,Evans,"Evans, Jake",,R,26160,23.0377004570553%,13808,33.4633933548215%,,,,,,,,,,,,,,,
